 > AI Priority Access,⊡,⊡,✔
 > Copilot Actions,⊡,⊡,✔
 > Copilot Chat (Work),⊡,⊡,✔
 > Copilot Cowork (frontier),⊡,⊡,✔
 > Copilot Dashboard,⊡,⊡,✔
 > Copilot in Clipchamp,⊡,⊡,✔
 > Copilot in Excel,⊡,⊡,✔
 > Copilot in Forms,⊡,⊡,✔
 > Copilot in Loop,⊡,⊡,✔
 > Copilot in OneDrive,⊡,⊡,✔
 > Copilot in OneNote,⊡,⊡,✔
 > Copilot in Outlook,⊡,⊡,✔
 > Copilot in PowerPoint,⊡,⊡,✔
 > Copilot in Planner,⊡,⊡,✔
 > Copilot in SharePoint,⊡,⊡,✔
 > Copilot in Teams,⊡,⊡,✔
 > Copilot in Whiteboard,⊡,⊡,✔
 > Copilot in Word,⊡,⊡,✔
 > Copilot Notebooks,⊡,⊡,✔
 > Copilot Prompt Gallery,⊡,⊡,✔
 > Copilot Search,⊡,⊡,✔
 > Copilot Studio for Microsoft 365,⊡,⊡,✔
 > Copilot Tuning (preview),⊡,⊡,✔
 > Graph and Connector Access Included,⊡,⊡,✔
 > Intelligent Recap,⊡,⊡,✔
 > Microsoft 365 Agents,⊡,⊡,✔
 > Microsoft Places (AI features),⊡,⊡,✔
 > Model Choice,⊡,⊡,✔
 > SharePoint Agents,⊡,⊡,✔
" > Viva Insights - Manager, Leader, Analyst",⊡,⊡,✔
 > Viva Pulse for Copilot,⊡,⊡,✔
 > SharePoint Advanced Management for Copilot,⊡,⊡,✔
 > > Advanced Tenant Rename,⊡,⊡,✔
 > > Agent Content Access Insights,⊡,⊡,✔
 > > Agent Insights,⊡,⊡,✔
 > > AI-Powered Insights,⊡,⊡,✔
 > > Block Download Policy,⊡,⊡,✔
 > > Compare Site Policies,⊡,⊡,✔
 > > Conditional Access for Sites,⊡,⊡,✔
 > > Content Management Assessments,⊡,⊡,✔
 > > Data Access Governance Reports,⊡,⊡,✔
 > > Data Access Governance Reports PowerShell,⊡,⊡,✔
 > > Enterprise App Insight Reports,⊡,⊡,✔
 > > Inactive Sites Policy,⊡,⊡,✔
 > > Recent Site Actions,⊡,⊡,✔
 > > Request Site Attestation,⊡,⊡,✔
